composite_key,bg_1,bg_2,bg_3,bg_4,bg_5,sm_1,sm_2,sm_3,ft_1,ft_2,ft_3,ft_4,ft_5
T0279|《大方廣佛華嚴經》(80卷本),T0279,唐 實叉難陀譯,唐,華嚴部類,七處九會39品,D,C,C,毘盧遮那如來,三昧,普順十方國土,如來功德大海,常寂滅
T0366|《佛說阿彌陀經》,T0366,姚秦 鳩摩羅什譯,姚秦,淨土宗部類,全1卷不分品,C,A,A,十萬億佛土,善根福德因緣,阿耨多羅三藐三菩提,一心不亂,極樂
T0412|《地藏菩薩本願經》,T0412,唐 實叉難陀譯,唐,大集部類,上下2卷13品,D,B,B,六道眾生,性識無定,舉止動念,無間地獄,七分之中
T0450|《藥師琉璃光如來本願功德經》,T0450,唐 玄奘譯,唐,經集部類,全1卷不分品,C,B,B,惡趣,無上菩提,藥師琉璃光如來,五色續命神幡,本願威力
T0945|《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,D,B,D,三昧,反聞聞自性,入流亡所,三摩提,二殊勝
T0251|《般若波羅蜜多心經》,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,諸法空相,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
T0235|《金剛般若波羅蜜經》,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,我相、人相、眾生相、壽者相,真是菩薩,阿耨多羅三藐三菩提,凡所有相
T1484|《梵網經菩薩戒本》(《佛說梵網經》下卷),T1484,後秦 鳩摩羅什譯,後秦,律部類,全1卷不分品,A,B,B,佛性,諸佛位,十地,阿闍梨,三寶
T0203|《雜寶藏經》,T0203,元魏 吉迦夜共曇曜譯,元魏,本緣部類,10卷，121緣(故事),A,A,D,結使,精進,供養,供養賢聖,五福德
T0211|《法句譬喻經》,T0211,晉世 法炬共法立譯,西晉,本緣部類,4卷39品,C,A,A,上道人,中陰,興衰法,彼岸,止觀
T0945|《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,唵,阿囉訶帝三藐三菩陀耶,薩皤乾闥婆弊泮,阿彌陀婆耶,阿祇尼婆夜
T1064|《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),T1064,唐 不空譯,唐,密教部類,84句咒語,B,D,A,南無那囉謹墀,摩訶悉陀夜,室佛羅娜,菩提薩埵婆㖿,摩訶菩提薩埵
JB044|《諸經日誦集要．蒙山施食》,JB044,佚名,不詳,經集部類,1部儀軌,A,C,B,貪瞋癡,阿耨多羅三藐三菩提,善用其心,法界性,薄伽伐帝
T1909|《慈悲道場懺法》(梁皇寶懺),T1909,梁 諸大法師集撰,梁,律部類,10卷40品,B,A,C,十二大因緣,大悲,佛念眾生,因緣生,十惡業
T1910|《慈悲三昧水懺》,T1910,不詳,不詳,律部類,3卷,C,B,D,三障,發菩提心,意業,貪瞋癡,因緣生
X1480|《千手眼大悲心咒行法》(大悲懺),X1480,宋 知禮始集 清 讀體重纂,清,法華部類,全1卷儀軌,D,B,B,三惡道,本具千法,性空寂,千手眼,極樂世界
T1941|《法華三昧懺儀》,T1941,隋 智顗撰,隋,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,一實境界,三寶,眼根,一念妄心,罪福性空
X1244|《百丈清規證義記．蘭盆儀軌摘要》,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,B,妙覺,如來智慧德相,誓願,十界,戒定慧
X1497|《法界聖凡水陸勝會修齋儀軌》(水陸法會),X1497,宋 志磐謹撰 明 袾宏重訂,明,律部類,6卷,B,C,B,三乘,法界,結地方界,戒德,十惡五逆
X1080|《瑜伽集要施食儀軌》(焰口),X1080,明 袾宏重訂,明,密教部類,全1卷儀軌,B,B,C,三昧耶戒,寶勝如來,觀自在,字種起觀,印呪加持
T0489|《佛說除蓋障菩薩所問經》,T0489,宋 法護等譯,宋,經集部類,20卷,C,C,D,妙等引心,諸受,梵行者,阿蘭若處,善不善業
T0657|《佛說華手經》,T0657,姚秦 鳩摩羅什譯,姚秦,經集部類,10卷35品,C,C,A,最初發心,發心即轉法輪菩薩,壞諸佛無上菩提,四法行,無相
T1567|《大乘中觀釋論》,T1567,安慧菩薩造 宋 惟淨等譯,宋,中觀部類,9卷13品(註釋《中論》前13品),C,D,A,無自性,自生,乾闥婆城,果,不生
T2011|《最上乘論》,T2011,唐 弘忍述,唐,禪宗部類,全1卷不分品,C,D,C,自心,寂照智,涅槃法,涅槃之根本,金剛佛性
X0276|《楞嚴摸象記》,X0276,明 袾宏述,明,密教部類,全1卷不分品,A,B,D,一迷為心,因戒生定,見見,頓悟,本覺
T1670A|《那先比丘經》,T1670A,失譯,不詳,論集部類,2卷,C,C,C,合聚,恩愛貪欲,智慧,三十七品經,更相然
T0305|《信力入印法門經》,T0305,元魏 曇摩流支譯,元魏,華嚴部類,5卷,B,D,A,捨覺分,大慈心,檀波羅蜜,信力,苦諦智
T0829|《大乘離文字普光明藏經》,T0829,唐 地婆訶羅譯,唐,經集部類,全1卷不分品,D,A,C,一切禁戒,如來覺,普光明藏,般若波羅蜜,不生不滅
T0268|《大廣博嚴淨不退轉法輪經》,T0268,宋 智嚴譯,劉宋,法華部類,6卷,B,C,D,佛知見,法界,八解脫,三結,真如法界
T0386|《佛說蓮華面經》,T0386,隋 那連提耶舍譯,隋,涅槃部類,上下2卷,B,C,C,三阿僧祇劫,八萬四千塔,四事供養,十八億魔軍,阿耨多羅三藐三菩提
