No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,諸法空相,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,度,我相人相眾生相壽者相,真菩薩,阿耨多羅三藐三菩提,一切有為法
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1484,後秦 鳩摩羅什譯,後秦,律部類,全1卷10品,A,B,B,佛性,諸佛子,十地,阿闍梨,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0203,元魏 吉迦夜共曇曜譯,元魏,本緣部類,10卷40品,A,A,D,煩惱,精進,恭敬,供養三寶,五福
20,T0211,《法句譬喻經》,佛教故事類,T0211,晉世 法炬共法立譯,西晉,本緣部類,4 卷 39 品,C,A,A,無所畏,生死,苦,彼岸,無欲
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,全1卷32分,C,C,A,唵,南無阿彌陀佛,薩皤乾闥婆弊泮,南無佛陀耶,摩訶迦羅
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T0125,元魏 曇摩流支譯,唐,密教部類,4卷39品,B,C,A,薩婆薩婆,摩訶迦樓羅,娑婆訶,南無阿囉訶,唵
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,佚名,不詳,經集部類,1部儀軌,A,C,B,貪瞋癡,無上正等正覺,無所畏懼,法界,阿彌陀佛
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T0412,梁 諸大法師集撰,梁,論集部類,7 卷 28 品,B,A,C,一切眾生,智慧,諸佛,心,三惡道
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,唐 般剌蜜帝譯，安慧菩薩造,姚秦,密教部類,3卷,C,B,A,三法,發菩提心,三毒,貪瞋癡,因緣
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,北涼,經集部類,全1卷儀軌,D,B,B,三惡道,一切眾生,體性空,千手眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1943,隋 智顗撰，清 儀潤證義,隋,法華部類,全1卷5門，其中正修行方法含十科,D,A,C,實相,三寶,無量,四種,心無所住
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1 部儀軌,D,A,B,涅槃,如來智慧德相,菩提,染淨,戒律
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,明,密教部類,全1卷10品,B,C,B,菩薩,法界,清淨無染,見地,五逆
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,T0366,失譯,宋,密教部類,1 部儀軌,B,A,C,三歸,阿彌陀佛,阿彌陀,三密,三昧
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0658,宋 法護等譯,唐,經集部類,7 卷 28 品,A,B,B,常住壽命,五蘊,善友,無上道,一切法
32,T0657,《佛說華手經》,佛典類,T0262,曹魏 康僧鎧譯,姚秦,寶積部類,10卷35品,C,C,A,微細,菩薩摩訶薩,遠離善根,八法,無為
33,T1567,《大乘中觀釋論》,論典類,T1564,唐 般剌蜜帝譯，安慧菩薩造,西晉,中觀部類,9卷13品(註釋《中論》前13品),A,D,A,無自性,無生,如響,果,不生
34,T2011,《最上乘論》,論典類,T1670A,唐 弘忍述,唐,禪宗部類,全1卷不分品,C,D,C,自性,智慧,自性,萬法,自性清淨心
35,X0276,《楞嚴摸象記》,論典類,X1497,明 袾宏述,明,論集部類,全1卷不分品,A,B,D,認取妄心,因戒生定,見,頓悟,本覺
36,T1670A,《那先比丘經》,經典類,T1909,不詳,東晉,經集部類,3卷14品,C,C,C,五陰,善行,不犯,五逆罪,燈炷
37,T0305,《信力入印法門經》,經典類,T0125,元魏 曇摩流支譯,元魏,華嚴部類,4卷39品,B,A,A,無所住,大願,慳嫉,無畏,無生
38,T0829,《大乘離文字普光明藏經》,經典類,T0828,唐 地婆訶羅譯,北涼,涅槃部類,全1卷不分品,D,A,C,正法之藏,可覺知,平等,一切智,不生不滅
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0267,宋 智嚴譯,姚秦,法華部類,6卷,B,A,C,不退轉,四諦,八邪,三有,不可思議
40,T0386,《佛說蓮華面經》,經典類,T0386,隋 那連提耶舍譯,姚秦,涅槃部類,全1卷32分,C,A,A,五十年,八萬四千塔,財物,魔怨,有種菩薩善根
