No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0451,唐 玄奘譯,唐,經集部類,51卷52品,C,B,B,眾,解脫,藥師,光,藥師琉璃光如來
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T1799,唐 玄奘譯,唐,密教部類,4卷39品,D,B,D,修,菩提,寂,聞,寂滅
16,T0251,《般若波羅蜜多心經》,經典類,T0252,明 袾宏重訂，唐 玄奘譯，宋 知禮始集 清 讀體重纂，元 宗寶編,唐,般若部類,全1卷不分品,B,B,D,空,無所得,空,色,佛
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯，宋 志磐謹撰 明 袾宏重訂，宋 法護等譯，元魏 吉迦夜共曇曜譯,宋,經集部類,全1卷32分,D,A,D,無,無明,無我,空,諸法
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1813,劉宋 求那跋陀羅譯,宋,本緣部類,全1卷32分,A,B,B,眾生,菩薩,佛性常住妙果,殺子,父母
19,T0203,《雜寶藏經》,佛教故事類,T0305,唐 不空譯，元 宗寶編,清,本緣部類,10卷40品,A,A,D,貪嫉,智慧,孝,孝順,布施
20,T0211,《法句譬喻經》,佛教故事類,T0268,劉宋 求那跋陀羅譯,不詳,本緣部類,439或427句咒語，因版本有別,C,A,A,捨,苦,無常,慧到,滅
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0366,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,阿那,薩怛他,薩皤,阿闍梨,波羅夷
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T0125,不詳,唐,密教部類,84句咒語,B,A,A,阿彌陀,悉陀夜,地唎尼,菩提,薩婆
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,T1484,佚名,唐,經集部類,4卷27品,A,C,B,無明,菩薩,菩提,佛,阿彌陀
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T0412,梁 諸大法師集撰,梁,法華部類,7卷28品,B,A,C,懺,無量,慈,業,行
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,宋 惟淨等譯,不詳,密教部類,6卷,C,B,A,煩惱,慚愧,貪,業,空
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1670A,唐 地婆訶羅譯,清,經集部類,100卷90品,D,B,B,罪,菩提,菩薩,慈悲,解脫
27,T1941,《法華三昧懺儀》,儀軌類,T1943,隋 智顗撰，清 儀潤證義,明,法華部類,全1卷32分,A,A,A,法華,行者,無量世,觀,空
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,T0268,清 儀潤證義，失譯,清,寶積部類,40卷13品,D,A,D,悟,眾生,心,圓常,法
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰,明,密教部類,上下2卷,B,C,A,佛,法性,淨水,法,罪
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,T0366,東晉 瞿曇僧伽提婆譯，失譯，曹魏 康僧鎧譯，明 袾宏重訂,宋,密教部類,1部儀軌,B,A,C,成就,焰口,光明,瑜伽,甘露
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0659,宋 法護等譯,唐,經集部類,7卷28品,A,A,C,菩薩,諸法,布施,住持,集
32,T0657,《佛說華手經》,佛典類,T0262,姚秦 鳩摩羅什譯,曹魏,經集部類,10卷35品,A,A,A,無量,佛,解脫,菩薩,無相
33,T1567,《大乘中觀釋論》,論典類,T1566,唐 般剌蜜帝譯，安慧菩薩造,唐,中觀部類,100卷90品,C,D,A,空,空,空,空,不滅
34,T2011,《最上乘論》,論典類,T2011,隋 智顗撰,清,中觀部類,上下2卷13品,B,A,B,阿彌陀佛,正念,定,本真心,佛性
35,X0276,《楞嚴摸象記》,論典類,T0829,宋 惟淨等譯,梁,論集部類,七處九會39品,A,A,D,一切,修持,無,無,明
36,T1670A,《那先比丘經》,經典類,T1910,不詳,唐,經集部類,3卷14品,A,A,A,苦,善業,善,孝順,人
37,T0305,《信力入印法門經》,經典類,T0125,元魏 曇摩流支譯，清 儀潤證義，龍樹菩薩造 梵志青目釋 姚秦 鳩摩羅什譯，明 袾宏述,不詳,本緣部類,七處九會39品,B,D,A,無,解脫,善教化,無,無智
38,T0829,《大乘離文字普光明藏經》,經典類,T0828,唐 玄奘譯,唐,經集部類,全1卷不分品,D,A,C,菩提,無量,空,法性,空
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0268,宋 惟淨等譯，宋 志磐謹撰 明 袾宏重訂,不詳,本緣部類,6卷，上下2卷,A,A,A,信,聲聞,菩薩,不住,不可思議
40,T0386,《佛說蓮華面經》,經典類,T0366,宋 惟淨等譯,清,法華部類,2卷，全1卷32分,A,A,A,毒刺,供養,貪,菩提,善根
