No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,本緣部類,上下2卷13品,D,B,B,眾生,皆因業力,舉心動念,無間地獄,所得功德
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0450,唐 玄奘譯,唐,經集部類,全1卷不分品,C,B,B,三惡道,無上菩提,藥師琉璃光如來,五色續命旛,本願威力
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,D,B,D,三摩地,妙湛總持不動尊,入流亡所,三摩提,二種殊勝
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,空,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,"我根據《金剛般若波羅蜜經》的內容，該詞語是：

**我相人相眾生相壽者相**",真實菩薩,阿耨多羅三藐三菩提,一切有為法
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1813,後秦 鳩摩羅什譯,後秦,律部類,全1卷10品,A,B,B,佛性,諸佛位,十地,阿闍梨,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0203,元魏 吉迦夜共曇曜譯,元魏,本緣部類,10卷，121緣(故事),A,A,D,心,精進,孝順,供養師長,五福
20,T0211,《法句譬喻經》,佛教故事類,T0211,元魏 吉迦夜共曇曜譯,西晉,本緣部類,10卷40品,C,A,A,聖人,母胎,生死,彼岸,"根據《法句譬喻經》的文本脈絡，⭘⭘應填入：

**六根**"
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,阿彌陀婆曳,阿逻诃帝,薩皤迦樓羅弊泮,娑婆訶,婆羅門婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 般剌蜜帝譯,後秦,密教部類,1部儀軌,B,C,A,薩皤盧羯叱,摩訶般若波羅蜜,摩訶薩,薩婆若薩,娑婆娑婆
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,佚名,不詳,經集部類,1部儀軌,A,C,B,貪瞋癡,菩提心成就,修行佛道,法界體性,阿彌陀佛
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,律部類,10卷40品,B,A,C,誓願,大悲,兒念父母,心想生,三業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,宋 惟淨等譯，清 儀潤證義，不詳,不詳,"懺悔部類

（注：若必須從您提供的選項中選擇，最接近的答案應為**律部類**，因為懺悔儀軌與律學關係密切。）",3卷,C,A,A,三道,發菩提心,根障,殺生,因緣
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,北涼,經集部類,全1卷10品,D,B,B,地獄,念誦觀音,性空寂,千手千眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1941,隋 智顗撰，清 儀潤證義,東晉,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,妙法蓮華,諸佛,由貪著,自心念,心空
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,A,聖位,佛性,"根據文本邏輯和句意，⭘⭘應填入：**堅固**

完整句子應為：「若堅固心意不發，道何由成辦乎。」",聖凡,戒律
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1480,宋 志磐謹撰 明 袾宏重訂,明,律部類,全1卷10品,B,A,B,菩薩,宇宙,一切鬼神,德行,父母
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,T0657,失譯,元,密教部類,1部儀軌，全1卷儀軌,B,B,C,三皈依,阿彌陀佛,"根據《瑜伽集要施食儀軌》(焰口)的文本，該詞語是：

**瑜伽焰口**","根據《瑜伽集要施食儀軌》的文本，該詞語是：

**密教**

（共2字，但題目要求4個⭘，應為：**密教法**或**密教門**）

若按4個⭘的要求，最合適的答案應為：

**密教法門**","根據《瑜伽集要施食儀軌》的文本，⭘⭘⭘⭘應填入：

**真言**"
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0659,失譯,唐,經集部類,20卷,A,B,B,"根據《佛說除蓋障菩薩所問經》的文本，該詞語是：

**菩提心**",世間,行者,菩薩戒,業種子
32,T0657,《佛說華手經》,佛典類,T0657,曹魏 康僧鎧譯,劉宋,寶積部類,10卷35品,C,C,A,殊勝,菩薩摩訶薩,不能成就,四法,無分別
33,T1567,《大乘中觀釋論》,論典類,T1566,唐 般剌蜜帝譯，安慧菩薩造,不詳,中觀部類,10卷,A,C,A,"我需要坦誠地說，我的內建記憶中沒有找到《大乘中觀釋論》這部論著的確切文獻記錄，也無法確認這句話的準確出處和原文。

因此，我無法可靠地填入那三個⭘處應該是什麼詞語。

如果您能提供更多文獻背景資訊，或確認這部論著的作者和成書時期，我或許能更好地協助您。","我需要坦誠地說，我的內建記憶中沒有《大乘中觀釋論》這部論著的具體文獻記錄，無法確定該句中⭘⭘處應填入的詞語。

如果您能提供更多文獻背景信息或確認論著的確切名稱和作者，我可能能更好地協助您。","我需要坦誠地說，我的內建記憶中對《大乘中觀釋論》這部論著的具體文句內容掌握有限，無法確定地填入那四個圓圈處應該是什麼詞語。

這句文字看起來是在列舉比喻（如夢、如幻、如⭘⭘⭘⭘），但我不能確定地給出答案而冒著提供錯誤資訊的風險。

建議您查閱原典文本或相關的佛學研究資料來確認正確答案。","我需要坦誠地說，我的內建記憶中沒有《大乘中觀釋論》這部論著的具體文本內容。我無法確定「⭘不在緣中」這句話中應該填入什麼詞語。

如果您能提供更多的文本脈絡或出處資訊，我可能會有更好的幫助。或者，如果您有其他我能確認的佛教經論問題，我很樂意協助。",生
34,T2011,《最上乘論》,論典類,T0279,唐 弘忍述,北涼,禪宗部類,全1卷不分品,C,A,"我需要指出一個問題：《最上乘論》是禪宗文獻，全文為1卷不分品，而您提供的答案選項中：

- 選項A、B、D 都在討論「品」的重要性，涉及「破生」「二十七品」等內容，這些明顯是在描述《中論》（龍樹菩薩著，共27品）的特徵，而非《最上乘論》。

- 選項C 才是正確描述《最上乘論》的內容，涉及禪宗思想、東山法門、「自心是佛」等核心思想。

**C**",般若波羅蜜,般若,佛性,無念為,真如佛性
35,X0276,《楞嚴摸象記》,論典類,X0276,明 袾宏述,後秦,論集部類,全1卷不分品,A,A,D,"我需要坦誠地說，我的內建記憶中沒有《楞嚴摸象記》這部文獻的具體內容。我無法確定那四個⭘處應該填入什麼詞語。

如果您能提供更多上下文或確認這部著作的完整信息，我可能會有所幫助。或者，如果您有其他佛教經文的問題，我很樂意根據我的知識來協助。",因戒生定,"我需要坦誠地告訴你，我的內建記憶中沒有《楞嚴摸象記》這部文獻的相關信息。我無法確定這部著作的具體內容和該句子中應填入的詞語。

如果你能提供更多背景信息，或者確認這部著作的作者和成書時間，我可能會有更好的幫助。",頓悟,"我需要坦誠地說，我的內建記憶中沒有《楞嚴摸象記》這部文獻的相關信息。

我無法確定這部著作的具體內容和該句子的完整表述，因此無法準確填空。

如果您能提供更多背景信息或確認文獻名稱，我會很樂意幫助。"
36,T1670A,《那先比丘經》,經典類,T1670A,不詳,不詳,經集部類,2卷,C,C,C,身體,五戒,不修,五戒十善,火相續
37,T0305,《信力入印法門經》,經典類,T0305,元魏 曇摩流支譯,不詳,本緣部類,5卷,B,A,A,無所得,菩薩心,菩薩摩訶薩,信力,無信心
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 地婆訶羅譯,北涼,經集部類,全1卷不分品，439或427句咒語，因版本有別,D,A,C,"根據《大乘離文字普光明藏經》的文本內容，⭘⭘⭘⭘應填入：

**秘密藏**",可生可滅,不生不滅,一切智慧,非生非滅
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0268,宋 智嚴譯,姚秦,法華部類,6卷,A,A,D,"根據《大廣博嚴淨不退轉法輪經》的文意邏輯，⭘⭘⭘應填入：

**佛法**

完整句子應為：「菩薩摩訶薩，令無量無邊阿僧祇眾生信佛法，信佛法已，不著色不著受、想、行、識，以不著色不著受、想、行、識故，是菩薩摩訶薩名為堅法。」",虛空,"根據佛教經文的文義邏輯，⭘⭘⭘應填入：

**道**

（但根據您標示的⭘數量為三個，應為：**八正道**）

若嚴格按照三個⭘的字數要求，答案是：**八正道**","根據《大廣博嚴淨不退轉法輪經》的文意脈絡，⭘⭘應填入：

**疑心**",阿僧祇劫
40,T0386,《佛說蓮華面經》,經典類,T0386,北涼 曇無讖譯,不詳,法華部類,全1卷32分,B,A,"我需要坦誠地說，我對《佛說蓮華面經》的具體內容和結構並不確定。根據我的內建記憶，我無法準確判斷該經〈卷上〉在全經中的確切重要性定位。

提供的四個選項分別描述了不同經典的特徵：
- A項描述序分的特點
- B項描述般若空性經典的特徵
- C項描述涅槃相關經典的內容
- D項明顯描述《心經》的特徵

由於我對《佛說蓮華面經》的具體內容記憶不足，我無法確定地選出正確答案。建議您參考相關的佛教文獻研究或經疏註解來確認此問題的答案。",正法,八萬四千塔,供養,魔軍,菩薩
