No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,,唐,,,B,,,,摩訶悉陀夜,佛囉舍耶,菩提薩埵婆,
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,,,經集部類,1部儀軌,,,,貪瞋癡,,,法界性,
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,,10卷40品,,,,大利益,,諸佛菩薩,,十惡業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,不詳,,,3卷,C,,,三障,發菩提心,三毒,不善業,
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,,,全1卷儀軌,,,,三惡道,,性空寂,千手眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1944,隋 智顗撰,隋,法華部類,,,,,,,,,
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,,禪宗部類,1部儀軌,,,,,如來智慧德相,,,
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,,,6卷,,,,菩薩,周遍,,,無始
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,X1080,明 袾宏重訂,明,密教部類,全1卷儀軌,,,,,寶勝如來,,,
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,,宋 法護等譯,宋,,4卷39品,,,,涅槃,,,,一切諸法
32,T0657,《佛說華手經》,佛典類,T0262,姚秦 鳩摩羅什譯,姚秦,,10卷35品,,,,,,,,
33,T1567,《大乘中觀釋論》,論典類,T1566,,不詳,中觀部類,3,,,,,,,,不生
34,T2011,《最上乘論》,論典類,T1670A,唐 弘忍述,,禪宗部類,,,,,,,,,
35,X0276,《楞嚴摸象記》,論典類,X1497,明 袾宏述,明,,,,,,心在身內,因戒生定,,,本覺
36,T1670A,《那先比丘經》,經典類,T1670A,失譯,,,3卷14品,,,,,,,,
37,T0305,《信力入印法門經》,經典類,T0305,元魏 曇摩流支譯,元魏,,4卷39品,,,,,,,,
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 地婆訶羅譯,唐,,全1卷不分品,,,,,,清淨平等,,
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0267,宋 智嚴譯,,,6卷,,,,,,八正道,,
40,T0386,《佛說蓮華面經》,經典類,T0386,隋 那連提耶舍譯,,,,,,,,,,,阿耨多羅三藐三菩提
