No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
20,T0211,《法句譬喻經》,佛教故事類,T0211,晉世 法炬共法立譯,西晉,本緣部類,4卷39品,C,A,A,上道人,世間,興衰法,彼岸,止觀
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,唵,阿囉訶帝三藐三菩陀寫,薩皤乾闥婆弊泮,勒怛那怛囉夜耶,阿祇尼婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 不空譯,唐,密教部類,84句咒語,B,D,A,南無那羅謹墀,摩訶悉陀夜,室佛囉耶,菩提薩埵婆,娑婆訶娑婆訶
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,佚名,不詳,經集部類,"根據CBETA JB044《諸經日誦集要》的內容，《蒙山施食》是其中的一部儀軌。

答案：**1部儀軌**",A,C,B,貪瞋癡,阿耨多羅三藐三菩提,修行於定,法界性,薄伽伐帝
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,律部類,10卷40品,B,B,C,立此懺法。并發大心。有**願皆從**。,大悲,如來念眾,心起,十惡業
25,T1910,《慈悲三昧水懺》,儀軌類,T1909,不詳,不詳,密教部類,3卷,C,B,D,三障,發菩提心,毒害,惡,因緣
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,X1480,宋 知禮始集 清 讀體重纂,元,X1480《千手眼大悲心咒行法》(大悲懺)屬於CBETA的**經集部類**,全1卷儀軌,D,B,B,三惡道,本自圓明,性空寂,千手眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1941,隋 智顗撰,隋,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,一實境界,三寶,無明,一念妄心,罪福空
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,B,覺岸,如來智慧德相,堅固,凡聖,戒律
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,明,密教部類,"根據CBETA X1497《法界聖凡水陸勝會修齋儀軌》的經文結構：

**6卷**

===",B,C,B,菩薩,法界,內外清淨,教理,現在未來
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,T1320,明 袾宏重訂,明,密教部類,全1卷儀軌,B,B,C,三歸依戒,"根據《瑜伽集要施食儀軌》（焰口）的文本，該處應填入的詞語是：

**如來**

完整句子為：「若聞如來名號，能令汝等塵勞業火悉皆消滅。」",吽字種,種子字,加持飲食
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0489,宋 法護等譯,宋,經集部類,"根據CBETA T0489《佛說除蓋障菩薩所問經》的基本資料，這部經典的經文結構是：

**20卷**

Answer: 20卷",C,C,B,阿蘭若處,諸受,梵行者,阿蘭若處,諸善法
32,T0657,《佛說華手經》,佛典類,T0657,姚秦 鳩摩羅什譯,姚秦,寶積部類,10卷35品,C,C,A,發心,菩薩摩訶薩,失菩提心,四法,無行
33,T1567,《大乘中觀釋論》,論典類,T1567,安慧菩薩造 宋 惟淨等譯,宋,中觀部類,9卷13品(註釋《中論》前13品),C,D,A,無自性,自生,乾闘婆城,果,不生
34,T2011,《最上乘論》,論典類,T2011,唐 弘忍述,唐,禪宗部類,全1卷不分品,C,D,C,自心,寂滅,涅槃妙心,十方諸佛,金剛佛性
35,X0276,《楞嚴摸象記》,論典類,X0276,明 袾宏述,明,密教部類,"根據CBETA X0276《楞嚴摸象記》的文獻資料，這是一部註釋書。

答案：**全1卷不分品**",A,B,D,世間之人,因戒生定,見見,頓悟,本覺
36,T1670A,《那先比丘經》,經典類,T1670A,不詳,東晉,經集部類,"根據CBETA T1670A《那先比丘經》的文獻資料，這部經典的經文結構是：

**2卷**

Claude: 根據CBETA T1670A《那先比丘經》的文獻資料，這部經典的經文結構是：

**2卷**",C,C,C,譬如,善惡行,"一心**念道**是為善事。

答案：**念道**",五戒十善,燈火相續
37,T0305,《信力入印法門經》,經典類,T0305,元魏 曇摩流支譯,元魏,華嚴部類,"根據CBETA T0305《信力入印法門經》的資料，這部經典是**5卷**。

答案：**5卷**",B,D,A,無信力,菩薩行,"根據《信力入印法門經》的文本，⭘⭘⭘⭘處應填入的詞語是：

**大施主**",波羅蜜,無生法
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 地婆訶羅譯,唐,經集部類,全1卷不分品,D,C,C,一切正法,如來所覺,普光明藏,般若波羅蜜,不生不滅
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0268,宋 智嚴譯,宋,法華部類,"根據CBETA T0268《大廣博嚴淨不退轉法輪經》的經文結構：

**6卷**

feedback:
根據CBETA資料，T0268《大廣博嚴淨不退轉輪經》共有6卷。",B,C,D,解脫法,虛空,八正道,諸見,諸佛法中
40,T0386,《佛說蓮華面經》,經典類,T0386,隋 那連提耶舍譯,隋,涅槃部類,"根據CBETA T0386《佛說蓮華面經》的基本資料，這部經典的經文結構是：

**2卷**

--Anthropic (Claude)",B,C,C,三阿僧祇,八萬四千塔,信施,魔軍眾已,菩提分法
