No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,"我根據《金剛般若波羅蜜經》的內容，該詞語是：

**我相人相眾生相壽者相**",真實菩薩,阿耨多羅三藐三菩提,凡所有相
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1813,後秦 鳩摩羅什譯,後秦,律部類,全1卷10品,A,B,B,佛性,諸佛位,十地,阿闍梨,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0203,元魏 吉迦夜共曇曜譯,元魏,本緣部類,10卷，121緣(故事),A,A,D,心,精進,孝順,供養師長,五福德
20,T0211,《法句譬喻經》,佛教故事類,T0211,元魏 吉迦夜共曇曜譯,西晉,本緣部類,10卷40品,C,A,A,阿羅漢,母胎,生死,彼岸,"根據《法句譬喻經》的文本脈絡，⭘⭘應填入：

**六根**"
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,阿彌陀佛,阿逻诃帝,薩皤迦樓羅弊泮,薩婆若阿,婆羅門婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 不空譯,後秦,密教部類,1部儀軌,B,C,A,薩皤盧羯叱,摩訶般若波羅蜜,穆帝隸,薩婆若薩,娑婆娑婆
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,佚名,不詳,經集部類,1部儀軌,A,C,B,貪瞋癡,菩提身成佛,修行佛道,法界性,阿彌陀佛
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,律部類,10卷40品,B,A,C,誓願,大悲,兒念父母,心想生,三業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,宋 惟淨等譯，清 儀潤證義，不詳,不詳,律部類,3卷,C,A,A,三道,發菩提心,根障,殺生,因緣
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,北涼,經集部類,全1卷10品,D,B,B,地獄,諸佛菩薩,性空寂,千手千眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1941,隋 智顗撰，清 儀潤證義,東晉,法華部類,全1卷5門，其中正修行方法含十科,D,B,C,妙法蓮華,諸佛,由於貪著,自心,心空
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,D,A,聖位,佛性,"根據文本邏輯和句意，⭘⭘應填入：**堅固**

完整句子應為：「若堅固心意不發，道何由成辦乎。」",聖凡,根據文本邏輯，⭘⭘⭘應填入：**戒律**
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,明,律部類,全1卷10品,B,A,B,菩薩,宇宙,一切鬼神,德行,父母
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,T0366,失譯,元,密教部類,1部儀軌，全1卷儀軌,B,B,C,三皈依,"根據《瑜伽集要施食儀軌》的文本，該句應為：

「若聞**如來**名號，能令汝等塵勞業火悉皆消滅。」

答案：**如來**",瑜伽焰口,"根據《瑜伽集要施食儀軌》的文本，該詞語是：

**密教**","根據《瑜伽集要施食儀軌》的文本，⭘⭘⭘⭘應填入：

**真言**"
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0659,失譯,唐,經集部類,20卷,A,B,B,無上菩提,世間,行者,菩薩戒,諸業
32,T0657,《佛說華手經》,佛典類,T0657,曹魏 康僧鎧譯,劉宋,經集部類,10卷35品,C,C,A,殊勝,菩薩摩訶薩,不能成就,四法,無分別
33,T1567,《大乘中觀釋論》,論典類,T1566,唐 般剌蜜帝譯，安慧菩薩造,不詳,中觀部類,10卷,A,C,A,自性空,"我無法確定《大乘中觀釋論》中這句話的確切內容。根據我的內建記憶，我沒有找到這部論著中完全匹配的文句記錄。

如果您能提供更多上下文或確認文獻出處，我可能能更好地協助您。","我需要坦誠地說，我的內建記憶中對《大乘中觀釋論》這部論著的具體文句內容並不確定，特別是這個特定的引文及其完整表述。

根據您提供的文句結構「如夢亦如幻，如⭘⭘⭘⭘，所說生住滅，其相亦如是」，這看起來像是在列舉多個比喻來說明諸法的虛幻性質。常見的佛教比喻包括「如電」、「如露」、「如泡」等，但我無法確定在這個特定文本中應填入的四字詞語是什麼。

我不想給出不確定的答案而誤導您。如果您能提供更多文本背景或出處資訊，我可能會有更好的幫助。","我需要坦誠地說，我的內建記憶中沒有《大乘中觀釋論》這部論著的具體文本內容。我無法確定「⭘不在緣中」這句話中應填入的詞語。

如果您能提供更多上下文或確認這部論著的完整名稱和作者，我可能會有更好的幫助。或者，如果您有其他佛教經文的問題，我很樂意嘗試回答。",生
34,T2011,《最上乘論》,論典類,T0279,唐 弘忍述,北涼,禪宗部類,全1卷不分品,C,A,A,般若波羅蜜,般若,真如佛性,無念,真如佛性
35,X0276,《楞嚴摸象記》,論典類,X0276,明 袾宏述,後秦,論集部類,全1卷不分品,A,A,D,"我需要坦誠地告訴你，我的內建記憶中沒有《楞嚴摸象記》這部文獻的具體內容記錄。

我無法準確填入那四個⭘處應該是什麼詞語。

如果你能提供更多的文本上下文，或者確認這部著作的作者和成書時間，我或許能提供更有幫助的回應。",因戒生定,"我需要坦誠地告訴你，我的內建記憶中沒有《楞嚴摸象記》這部文獻的相關信息。我無法確定這部著作的具體內容和該文句中應填入的詞語。

如果你能提供更多背景信息，或者確認這部著作的作者和成書時間，我可能會有更好的幫助。",頓悟,"我需要坦誠地說，我的內建記憶中沒有《楞嚴摸象記》這部文獻的相關信息。

我無法確定這部著作的具體內容和該句子的完整表述，因此無法準確填空。

如果您能提供更多背景信息或確認文獻名稱，我會很樂意幫助。"
36,T1670A,《那先比丘經》,經典類,T1670A,不詳,不詳,經集部類,2卷,C,C,C,身體,五戒,不修,五戒十善,火相續
37,T0305,《信力入印法門經》,經典類,T0305,元魏 曇摩流支譯,不詳,本緣部類,七處九會39品,B,A,A,無所得,菩薩心,菩薩摩訶薩,信力,無信心
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 地婆訶羅譯,北涼,經集部類,全1卷不分品，439或427句咒語，因版本有別,D,A,C,"根據《大乘離文字普光明藏經》的文本，⭘⭘⭘⭘應填入：

**秘密藏**",可生可滅,無二,一切智智,非生非滅
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0268,宋 智嚴譯,不詳,法華部類,6卷,A,A,D,"根據《大廣博嚴淨不退轉法輪經》的文意邏輯，⭘⭘⭘應填入「佛法」，⭘⭘⭘也應填入「佛法」。

答案：佛法",虛空,道,疑心,阿僧祇劫
40,T0386,《佛說蓮華面經》,經典類,T0386,北涼 曇無讖譯,不詳,法華部類,全1卷32分,B,A,"我無法直接回答這個問題。

原因是：《佛說蓮華面經》並非我內建記憶中的常見佛教經典。我對這部經典的具體內容、結構和各卷的重要性沒有可靠的認識。

提供的四個選項涉及不同經典的特徵：
- A項描述的是序分的特點
- B項描述的是般若經典的特點
- C項描述的是涅槃相關經典的特點
- D項描述的是《心經》等般若精髓經典的特點

為了給您準確的答案，我需要您提供更多關於《佛說蓮華面經》的背景資訊，或者確認這部經典的確切名稱和出處。",正法,八萬四千塔,供養,破魔軍,菩薩
