No.,經號,經名,經典類別,經文基本資料_0_經號,經文基本資料_1_作譯者,經文基本資料_2_朝代,經文基本資料_3_部類,經文基本資料_4_經文結構,經文摘要_0,經文摘要_1,經文摘要_2,全文內容_0,全文內容_1,全文內容_2,全文內容_3,全文內容_4
13,T0412,《地藏菩薩本願經》,經典類,T0412,唐 實叉難陀譯,唐,大集部類,上下2卷13品,D,"B

本品為《地藏菩薩本願經》〈閻浮眾生業感品第四〉，核心內容包括：

1. 地藏菩薩因地本願的兩段本生故事
2. 眾生業報輪迴的教示
3. 詳列23種惡業果報

選項A描述的是《阿彌陀經》內容
選項C描述的是《那先比丘經》內容  
選項D描述的是《法華經》〈方便品〉內容","B

本品是《地藏菩薩本願經》的核心章節，詳述地藏菩薩因地本願及閻浮眾生的業感差別，確立「眾生度盡方證菩提，地獄未空誓不成佛」的根本精神，並開示23種業報，為漢傳佛教因果教育的重要依據。",六道眾生,性識無定,舉止動念,無間地獄,七分之中
14,T0450,《藥師琉璃光如來本願功德經》,經典類,T0449,唐 玄奘譯,唐,密教部類,全1卷不分品,C,"B

本經全名《藥師琉璃光如來本願功德經》，核心內容正是描述東方淨琉璃世界的藥師琉璃光如來及其十二大願。

選項A描述的是《不退轉法輪經》的內容（一乘與三乘關係）
選項C描述的是《般若波羅蜜多心經》的內容（般若空性思想）
選項D描述的是《維摩詰所說經》中不思議品的內容（不可思議解脫法門）

只有選項B正確描述了藥師經的核心法義：藥師佛的十二大願、淨琉璃世界莊嚴、持名功德、救脫菩薩開示臨終救度法、九橫死、十二藥叉大將護持等內容。",B,惡趣,無上菩提,藥師琉璃光如來,五色續命神幡,本願威力
15,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經》,經典類,T0945,唐 般剌蜜帝譯,唐,密教部類,10卷,D,"B

本卷為《楞嚴經》卷六，核心內容確實包含：
1. 觀世音菩薩耳根圓通法門的詳細修證次第
2. 文殊菩薩評析二十五圓通並揀選耳根圓通
3. 四種清淨明誨（斷淫、殺、盜、妄）作為修行根本

選項A描述的是《大般涅槃經》內容
選項C描述的是《華嚴經》入法界品場景
選項D描述的是《阿彌陀經》內容","D

本卷確實位於《楞嚴經》正宗分的核心位置，承接卷五二十五圓通的選擇，由文殊菩薩揀選觀世音菩薩耳根圓通為此方最契機法門，並在本卷開展四種清淨明誨（淫、殺、盜、妄四重戒），建立修行的戒律基礎，體現「攝心為戒，因戒生定，因定發慧」的修證次第，是理論與實踐結合的關鍵樞紐。",三昧,我本因地,入流亡所,三摩地,二殊勝
16,T0251,《般若波羅蜜多心經》,經典類,T0251,唐 玄奘譯,唐,般若部類,全1卷不分品,B,B,A,故空中無色,究竟涅槃,般若波羅蜜多,色不異空,般若波羅蜜多
17,T0235,《金剛般若波羅蜜經》,經典類,T0235,後秦 鳩摩羅什譯,後秦,般若部類,全1卷32分,D,A,D,滅度,我相人相眾生相壽者相,真是菩薩,阿耨多羅三藐三菩提,一切有為法
18,T1484,《梵網經菩薩戒本》(《佛說梵網經》下卷),律典類,T1484,後秦 鳩摩羅什譯,後秦,律部類,全1卷不分品,A,B,B,佛性,佛位,十地,阿闍梨,三寶
19,T0203,《雜寶藏經》,佛教故事類,T0203,元魏 吉迦夜共曇曜譯,元魏,本緣部類,10卷，121緣(故事),A,A,A,毒,精進,供養,供養沙門,五果報
20,T0211,《法句譬喻經》,佛教故事類,T0211,晉世 法炬共法立譯,西晉,本緣部類,4卷39品,C,A,A,上梵志,母胎,興衰法,彼岸,止觀
21,T0945,《大佛頂如來密因修證了義諸菩薩萬行首楞嚴經．楞嚴咒》(楞嚴咒),儀軌類,T0945,唐 般剌蜜帝譯,唐,密教部類,439或427句咒語，因版本有別,C,C,A,唵,阿囉訶帝三藐三菩陀寫,薩皤乾闥婆弊泮,薩怛他揭多也,阿迦囉婆夜
22,T1064,《千手千眼觀世音菩薩大悲心陀羅尼》(大悲咒),儀軌類,T1064,唐 不空譯,唐,密教部類,84句咒語,B,D,A,南無那囉謹墀,摩訶悉陀夜,室佛囉耶,菩提薩埵婆,娑婆訶
23,JB044,《諸經日誦集要．蒙山施食》,儀軌類,JB044,佚名,不詳,經集部類,1部儀軌,A,"C

根據題目要求回答《諸經日誦集要．蒙山施食》〈蒙山施食〉的儀軌內容，正確答案是 **C**。

此答案描述的儀軌結構符合蒙山施食的典型特徵：
- 以召請、皈依、懺悔、施食、迴向五大段落組成
- 包含破地獄真言、普召請真言等蒙山施食特有真言
- 核心施食段落有開咽喉真言、變食真言、甘露水真言
- 稱念七如來聖號（多寶、寶勝、妙色身等）
- 以往生咒、普迴向真言圓滿儀軌

這是蒙山施食儀軌的標準結構。",B,貪瞋癡,菩提正覺,行四攝法,法界性,薄伽伐帝
24,T1909,《慈悲道場懺法》(梁皇寶懺),儀軌類,T1909,梁 諸大法師集撰,梁,論集部類,10卷40品,B,A,C,十種利益,大悲,佛念眾生,因緣生,十惡業
25,T1910,《慈悲三昧水懺》,儀軌類,T1910,不詳,不詳,律部類,3卷,C,B,C,三障,發菩提心,煩惱,殺盜淫,因緣生
26,X1480,《千手眼大悲心咒行法》(大悲懺),儀軌類,T1909,宋 知禮始集 清 讀體重纂,宋,經集部類,全1卷儀軌,D,B,B,三惡道,歸命禮,性空寂,千手千眼,極樂世界
27,T1941,《法華三昧懺儀》,儀軌類,T1941,隋 智顗撰,隋,法華部類,全1卷5門，其中正修行方法含十科,D,"B

本卷為智者大師所撰《法華三昧懺儀》，是依《法華經》修持法華三昧的懺法儀軌。其特色為三七日中日夜六時修持十科行法，包括嚴淨道場、淨身、供養、奉請、讚歎、禮佛、懺悔六根、行道、誦經、坐禪實相正觀等完整次第，最後以實相觀破心識為大懺悔，是天台宗重要修持法門。",C,一實境界,三宝,迷惑,一念心,罪性本空
28,X1244,《百丈清規證義記．蘭盆儀軌摘要》,儀軌類,X1244,清 儀潤證義,清,禪宗部類,1部儀軌,D,"D

此題詢問《百丈清規證義記．蘭盆儀軌摘要》的儀軌內容與步驟。

選項A描述的是大悲懺的儀軌結構（香華供養、禮敬諸佛、發十大願、誦大悲咒等）

選項B描述的是梁皇寶懺的懺悔架構（三卷結構、七種心、三障懺悔等）

選項C描述的是佛頂尊勝陀羅尼咒的五會結構

選項D描述的是盂蘭盆會的儀軌，包含七月十五日建壇、淨壇繞經、上供獻儀、眾僧受食等步驟，並附有法會會約規範，這正是《蘭盆儀軌摘要》的內容。

**D**",B,覺岸,如来智慧德相,不立,染淨,住持
29,X1497,《法界聖凡水陸勝會修齋儀軌》(水陸法會),儀軌類,X1497,宋 志磐謹撰 明 袾宏重訂,明,密教部類,全1卷10品,B,"C

根據題目所述《法界聖凡水陸勝會修齋儀軌》卷第一的內容特徵，正確答案為C。

該卷包含：
1. 晨朝開啟法事（淨三業、安慰伽藍神、結界護壇）
2. 三層結界法（地方界、方隅界、虛空界）
3. 召請護法（穢跡金剛、十大明王、梵釋四王等）
4. 宣說法會名義（上下堂各十位，總二百位）
5. 發符法事（設四符使位，奏狀請書符牒）

這些都是水陸法會卷一的典型儀軌內容。",B,菩薩,法界,遍灑三界,德行,五逆
30,X1080,《瑜伽集要施食儀軌》(焰口),儀軌類,X1080,失譯,元,密教部類,全1卷儀軌,B,"B

本卷為《瑜伽集要施食儀軌》(焰口)的內容，其核心特徵是：

1. **三段結構**：前行（淨壇、供養、建壇）、正行（觀想、破地獄、施食）、結行（補闕、奉送）

2. **觀音為主尊**：觀想hrīḥ字成八葉蓮花，花中現觀自在菩薩

3. **施食核心**：破地獄印、召請六道、懺悔滅罪、施甘露、變食真言、授三皈依

4. **密教特色**：結印三十餘種、誦咒數十種、vaṃ字流出飲食、三業並運

5. **超度目的**：為餓鬼道眾生開咽喉、施甘露、令往生淨土

選項A是《千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經》內容
選項C是發菩提心類儀軌
選項D是水陸法會上堂內容

**B**",C,三昧耶戒,观世音菩萨,吽字,真言流出,真言加持
31,T0489,《佛說除蓋障菩薩所問經》,佛典類,T0489,宋 法護等譯,宋,密教部類,20卷,D,"C

本經《佛說除蓋障菩薩所問經》卷第一的核心內容為：他方菩薩見釋迦牟尼佛光明而來娑婆世界，蓮華眼如來開示聞佛名得不退轉之理，並說明娑婆世界眾生雖多煩惱，但若能發心修行亦極為希有。菩薩眾來此放光救度六道眾生，令其離苦得樂。",B,不放逸行,諸行,梵行者,阿蘭若處,一切諸法
32,T0657,《佛說華手經》,佛典類,T0657,姚秦 鳩摩羅什譯,姚秦,寶積部類,10卷35品,C,"C

本經《佛說華手經》〈發心即轉法輪品第七〉的核心內容確實是：

- 舍利弗請問發心即轉法輪菩薩的過去善根
- 佛陀詳述此菩薩因地修行，於無量諸佛成道時請轉法輪
- 以大量譬喻說明其勸請諸佛數量之多
- 講述過智力佛時代聞力轉輪聖王的本生故事
- 強調將善根迴向無上道，願所生之處皆出法音

選項A描述的是《楞嚴經》觀世音菩薩耳根圓通章
選項B描述的是《阿彌陀經》
選項D描述的是《大般若經》相關內容",A,最初最,菩薩摩訶薩,能壞大乘,四法,無為
33,T1567,《大乘中觀釋論》,論典類,T1567,"根據CBETA T1567《大乘中觀釋論》的記載，作譯者為：

**宋 惟淨等譯**",宋,中觀部類,9卷13品(註釋《中論》前13品),C,"D

本題問《大乘中觀釋論》〈觀緣品第一〉（即《中論》觀因緣品）的論證內容。

選項D正確描述了該品的核心論證結構：
- 破四生（自生、他生、共生、無因生）
- 析四緣（因緣、所緣緣、次第緣、增上緣）
- 論證「果不在緣中」
- 破「果從緣生」
- 總結緣起性空、中道實相

其他選項：
- A是《最上乘論》的內容（論守本真心）
- B是《楞嚴經疏解蒙鈔》的內容
- C是《中論》〈觀四諦品〉的內容（論二諦、空義）","A

本品為《大乘中觀釋論》（即《中論》）的首品，確立全論破立綱領，通過破四生、析四緣來摧毀實有自性見，開顯緣起性空的中道正見，為後續二十六品奠定理論基礎，是中觀學派的根本典籍。",不生不滅,自生,乾闥婆城,我無法確定答案，因為《大乘中觀釋論》的具體文句需要查看完整上下文才能準確判斷。根據您提供的「⭘不在緣中」這個句式，可能的詞語包括「果」、「自性」等，但沒有完整文本無法確定是哪一個詞語。,不生
34,T2011,《最上乘論》,論典類,T2011,唐 弘忍述,唐,禪宗部類,全1卷不分品,C,D,C,自心,慧眼,涅槃,守本真心,金剛佛性
35,X0276,《楞嚴摸象記》,論典類,X0276,明 袾宏述,明,論集部類,全1卷不分品,A,D,D,諸修行人,因戒生定,銷落,頓悟,本覺
36,T1670A,《那先比丘經》,經典類,T1670A,失譯,東晉,經集部類,3卷14品,C,C,"C

本品為《那先比丘經》卷上，是全經的序分部分，交代了那先比丘與彌蘭陀王的相遇背景和前世因緣，確立了問答體裁。論主那先比丘以「無我」「緣起」「業報」等核心義理，透過車喻、燈喻等譬喻方式，層層破除國王的我執，建立佛法正見，為後續深入的法義討論奠定基礎。",髮毛,善行,不亂,五戒十善,燈相續
37,T0305,《信力入印法門經》,經典類,T0305,元魏 曇摩流支譯,元魏,華嚴部類,5卷,B,D,A,平等觀,大精進,布施波羅蜜,出世間,無所有
38,T0829,《大乘離文字普光明藏經》,經典類,T0829,唐 地婆訶羅譯,唐,密教部類,全1卷不分品,D,A,C,一切正法,可覺知,本來寂靜,一切如來,無生無滅
39,T0268,《大廣博嚴淨不退轉法輪經》,經典類,T0268,宋 智嚴譯,宋,法華部類,6卷,B,C,D,般若波羅蜜,空界,八正道,疑網,佛法
40,T0386,《佛說蓮華面經》,經典類,T0386,隋 那連提耶舍譯,隋,法華部類,2卷,C,B,C,法眼,八萬四千塔,衣服飲食,魔軍眾已,大乘
